DOI cattype cat T   log_conv    sel author  rxntype oxidant catalysis   single-site tag category
10.1016/S0926-860X(97)00105-4   CuCl16Pc/FAU-X  Cu  273 -1.38   51.50   Raja    aqueous O2/TBHP heterogeneous   yes None    Phthalocyanine/zeolite
10.1016/S0926-860X(97)00105-5   CuCl16Pc/FAU-Y  Cu  273 -1.41   53.50   Raja    aqueous O2/TBHP heterogeneous   yes None    Phthalocyanine/zeolite
10.1016/S0926-860X(97)00105-6   CuCl16Pc/L  Cu  273 -1.96   10.70   Raja    aqueous O2/TBHP heterogeneous   yes None    Phthalocyanine/zeolite
10.1016/S0926-860X(97)00105-7   CoCl16Pc/FAU-X  Co  273 -1.55   12.50   Raja    aqueous O2/TBHP heterogeneous   yes None    Phthalocyanine/zeolite
10.1016/S0926-860X(97)00105-8   FeCl16Pc/FAU-X  Fe  273 -1.31   52.60   Raja    aqueous O2/TBHP heterogeneous   yes None    Phthalocyanine/zeolite
10.1021/jp000406y   H4PV1Mo11O40    Mo  353 -1.33   1.00    Seki    aqueous H2O2    homogeneous yes None    Oxide
10.1021/jp000406y   H4PV1Mo11O40    Mo  353 -3.36   99.12   Seki    aqueous H2O2    homogeneous yes None    Oxide
10.1021/jp000406y   H4PV1Mo11O40    Mo  353 -2.04   44.79   Seki    aqueous H2O2    homogeneous yes None    Oxide
10.1021/jp000406y   H4PV1Mo11O40    Mo  353 -1.79   23.20   Seki    aqueous H2O2    homogeneous yes None    Oxide
10.1021/jp000406y   H4PV1Mo11O40    Mo  353 -1.72   18.21   Seki    aqueous H2O2    homogeneous yes None    Oxide
10.1021/jp000406y   H4PV1Mo11O40    Mo  353 -1.66   14.54   Seki    aqueous H2O2    homogeneous yes None    Oxide
10.1021/jp000406y   H4PV1Mo11O40    Mo  353 -1.59   11.89   Seki    aqueous H2O2    homogeneous yes None    Oxide
10.1006/jcat.1995.1208  APO-5   Fe  673 -1.82   2.50    Wang    gas O2/H2   heterogeneous   yes None    Phosphate
10.1006/jcat.1995.1208  PO4 Fe  673 -2.60   21.00   Wang    gas O2/H2   heterogeneous   yes None    Phosphate
10.1006/jcat.1995.1208  PO4 Fe  673 -2.22   24.00   Wang    gas O2/H2   heterogeneous   yes None    Phosphate
10.1006/jcat.1995.1208  PO4 Fe  633 -3.80   77.92   Wang    gas O2/H2   heterogeneous   yes None    Phosphate
